ID	phase	blk	tri	targetId,	cat1	cat2	err	comp,	distance,	ct	startTimeToComplete,	clk	TimeOUt
S1	P1	B1	1	19	new		0	TRUE	0	6345	6345	1	0
S1	P1	B1	2	12	new		1	TRUE	0	6262	6262	2	0
S1	P1	B1	3	8	new		1	TRUE	0	8040	8041	2	0
S1	P1	B1	4	3	new		0	TRUE	0	4367	4367	1	0
S1	P1	B1	5	16	new		0	TRUE	0	9720	9720	1	0
S1	P1	B2	1	8	new		0	TRUE	0	8888	8888	1	0
S1	P1	B2	2	3	new		0	TRUE	0	4488	4488	1	0
S1	P1	B2	3	16	new		0	TRUE	0	4135	4136	1	0
S1	P1	B2	4	12	new		0	TRUE	0	5296	5296	1	0
S1	P1	B2	5	19	new		0	TRUE	0	3287	3287	1	0
S1	P1	B3	1	3	new		0	TRUE	0	5207	5208	1	0
S1	P1	B3	2	8	new		0	TRUE	0	4119	4120	1	0
S1	P1	B3	3	16	new		0	TRUE	0	4129	4129	1	0
S1	P1	B3	4	19	new		0	TRUE	0	3111	3111	1	0
S1	P1	B3	5	12	new		0	TRUE	0	5320	5320	1	0
S1	P2	B1	1	10	new		0	TRUE	0	6945	6945	1	0
S1	P2	B1	2	18	new		0	TRUE	0	8182	8183	1	0
S1	P2	B1	3	16			0	TRUE	0	3447	3448	1	0
S1	P2	B1	4	1	new		0	TRUE	0	5080	5080	1	0
S1	P2	B1	5	19			0	TRUE	0	3615	3615	1	0
S1	P2	B1	6	8			1	TRUE	0	8161	8161	2	0
S1	P2	B1	7	3			0	TRUE	0	3959	3959	1	0
S1	P2	B1	8	12			2	TRUE	0	11190	11192	3	0
S1	P2	B1	9	6	new		0	TRUE	0	4920	4921	1	0
S1	P2	B1	10	14	new		1	TRUE	0	7382	7383	2	0
S1	P2	B2	1	8			1	TRUE	0	7448	7448	2	0
S1	P2	B2	2	19			0	TRUE	0	3263	3264	1	0
S1	P2	B2	3	18	new		4	TRUE	0	14557	14560	5	0
S1	P2	B2	4	16			2	TRUE	0	9424	9424	3	0
S1	P2	B2	5	10	new		0	TRUE	0	3039	3039	1	0
S1	P2	B2	7	3			0	TRUE	0	4231	4231	1	0
S1	P2	B2	8	1	new		0	TRUE	0	4064	4065	1	0
S1	P2	B2	9	12			2	TRUE	0	6688	6688	3	0
S1	P2	B2	10	6	new		3	TRUE	0	8317	8319	4	0
S1	P2	B3	1	16			0	TRUE	0	3887	3887	1	0
S1	P2	B3	2	1	new		0	TRUE	0	3656	3657	1	0
S1	P2	B3	4	8			2	TRUE	0	6648	6648	3	0
S1	P2	B3	5	3			0	TRUE	0	4864	4864	1	0
S1	P2	B3	6	10	new		0	TRUE	0	3311	3312	1	0
S1	P2	B3	8	19			0	TRUE	0	3358	3358	1	0
S1	P2	B3	9	12			2	TRUE	0	5584	5585	3	0
S1	P2	B3	10	6	new		0	TRUE	0	3687	3687	1	0
S1	P3	B1	1	1			0	TRUE	0	7689	7689	1	0
S1	P3	B1	2	18			0	TRUE	0	4910	4911	1	0
S1	P3	B1	4	14			0	TRUE	0	5008	5008	1	0
S1	P3	B1	6	19			0	TRUE	0	4086	4087	1	0
S1	P3	B1	7	3			0	TRUE	0	3735	3736	1	0
S1	P3	B1	8	12			3	TRUE	0	7488	7489	4	0
S1	P3	B1	9	8			4	TRUE	0	11493	11495	5	0
S1	P3	B1	10	10			0	TRUE	0	2879	2880	1	0
S1	P3	B1	11	0	new		2	TRUE	0	8928	8929	3	0
S1	P3	B1	12	17	new		5	TRUE	0	14598	14600	6	0
S1	P3	B1	13	16			0	TRUE	0	4943	4943	1	0
S1	P3	B1	14	6			1	TRUE	0	6863	6864	2	0
S1	P3	B1	15	5	new		0	TRUE	0	3127	3128	1	0
S1	P3	B2	1	12			2	TRUE	0	6239	6240	3	0
S1	P3	B2	2	10			2	TRUE	0	5263	5263	3	0
S1	P3	B2	3	6			0	TRUE	0	3680	3680	1	0
S1	P3	B2	5	5	new		0	TRUE	0	4808	4808	1	0
S1	P3	B2	6	14			0	TRUE	0	5552	5552	1	0
S1	P3	B2	7	3			0	TRUE	0	4208	4208	1	0
S1	P3	B2	8	0	new		0	TRUE	0	2952	2952	1	0
S1	P3	B2	9	1			0	TRUE	0	5512	5512	1	0
S1	P3	B2	10	19			0	TRUE	0	3382	3383	1	0
S1	P3	B2	11	17	new		4	TRUE	0	15751	15753	5	0
S1	P3	B2	12	16			2	TRUE	0	6695	6695	3	0
S1	P3	B2	13	18			0	TRUE	0	5959	5960	1	0
S1	P3	B2	14	9	new		1	TRUE	0	4777	4777	2	0
S1	P3	B2	15	8			4	TRUE	0	9932	9935	5	0
S1	P3	B3	1	5	new		1	TRUE	0	6479	6480	2	0
S1	P3	B3	3	6			2	TRUE	0	6352	6352	3	0
S1	P3	B3	4	13	new		0	TRUE	0	6264	6264	1	0
S1	P3	B3	5	10			2	TRUE	0	5816	5816	3	0
S1	P3	B3	6	9	new		0	TRUE	0	3248	3248	1	0
