ID	phase	blk	tri	targetId,	cat1	err	comp,	distance,	ct	startTimeToComplete,	clk	TimeOUt
S1	P1	B1	1	19	new	0	TRUE	0	6345	6345	1	0
S1	P1	B1	2	12	new	1	TRUE	0	6262	6262	2	0
S1	P1	B1	3	8	new	1	TRUE	0	8040	8041	2	0
S1	P1	B1	4	3	new	0	TRUE	0	4367	4367	1	0
S1	P1	B1	5	16	new	0	TRUE	0	9720	9720	1	0
S1	P1	B2	1	8	new	0	TRUE	0	8888	8888	1	0
S1	P1	B2	2	3	new	0	TRUE	0	4488	4488	1	0
S1	P1	B2	3	16	new	0	TRUE	0	4135	4136	1	0
S1	P1	B2	4	12	new	0	TRUE	0	5296	5296	1	0
S1	P1	B2	5	19	new	0	TRUE	0	3287	3287	1	0
S1	P1	B3	1	3	new	0	TRUE	0	5207	5208	1	0
S1	P1	B3	2	8	new	0	TRUE	0	4119	4120	1	0
S1	P1	B3	3	16	new	0	TRUE	0	4129	4129	1	0
S1	P1	B3	4	19	new	0	TRUE	0	3111	3111	1	0
S1	P1	B3	5	12	new	0	TRUE	0	5320	5320	1	0
S1	P2	B1	1	10	new	0	TRUE	0	6945	6945	1	0
S1	P2	B1	2	18	new	0	TRUE	0	8182	8183	1	0
S1	P2	B1	4	1	new	0	TRUE	0	5080	5080	1	0
S1	P2	B1	9	6	new	0	TRUE	0	4920	4921	1	0
S1	P2	B1	10	14	new	1	TRUE	0	7382	7383	2	0
S1	P2	B2	3	18	new	4	TRUE	0	14557	14560	5	0
S1	P2	B2	5	10	new	0	TRUE	0	3039	3039	1	0
S1	P2	B2	6	14	new	8	TRUE	0	21725	21729	9	0
S1	P2	B2	8	1	new	0	TRUE	0	4064	4065	1	0
S1	P2	B2	10	6	new	3	TRUE	0	8317	8319	4	0
S1	P2	B3	2	1	new	0	TRUE	0	3656	3657	1	0
S1	P2	B3	3	18	new	5	TRUE	0	12591	12592	6	0
S1	P2	B3	6	10	new	0	TRUE	0	3311	3312	1	0
S1	P2	B3	7	14	new	6	TRUE	0	18110	18112	7	0
S1	P2	B3	10	6	new	0	TRUE	0	3687	3687	1	0
S1	P3	B1	3	9	new	9	TRUE	0	17330	17336	10	0
S1	P3	B1	5	13	new	8	TRUE	0	19821	19824	9	0
S1	P3	B1	11	0	new	2	TRUE	0	8928	8929	3	0
S1	P3	B1	12	17	new	5	TRUE	0	14598	14600	6	0
S1	P3	B1	15	5	new	0	TRUE	0	3127	3128	1	0
S1	P3	B2	4	13	new	11	TRUE	0	23973	23976	12	0
S1	P3	B2	5	5	new	0	TRUE	0	4808	4808	1	0
S1	P3	B2	8	0	new	0	TRUE	0	2952	2952	1	0
S1	P3	B2	11	17	new	4	TRUE	0	15751	15753	5	0
S1	P3	B2	14	9	new	1	TRUE	0	4777	4777	2	0
S1	P3	B3	1	5	new	1	TRUE	0	6479	6480	2	0
S1	P3	B3	4	13	new	0	TRUE	0	6264	6264	1	0
S1	P3	B3	6	9	new	0	TRUE	0	3248	3248	1	0
S1	P3	B3	8	0	new	0	TRUE	0	2953	2953	1	0
S1	P3	B3	9	17	new	1	TRUE	0	7878	7879	2	0
S1	P4	B1	6	4	new	3	TRUE	0	8254	8255	4	0
S1	P4	B1	10	15	new	2	TRUE	0	6639	6640	3	0
S1	P4	B1	11	7	new	8	TRUE	0	15974	15976	9	0
S1	P4	B1	18	2	new	2	TRUE	0	10599	10600	3	0
S1	P4	B1	20	11	new	4	TRUE	0	7868	7871	5	0
S1	P4	B2	5	4	new	2	TRUE	0	5351	5352	3	0
S1	P4	B2	10	15	new	3	TRUE	0	7847	7848	4	0
S1	P4	B2	13	7	new	2	TRUE	0	4960	4960	3	0
S1	P4	B2	15	11	new	1	TRUE	0	3656	3657	2	0
S1	P4	B2	16	2	new	4	TRUE	0	7815	7816	5	0
S1	P4	B3	2	7	new	1	TRUE	0	3841	3841	2	0
S1	P4	B3	5	2	new	1	TRUE	0	3776	3776	2	0
S1	P4	B3	6	15	new	3	TRUE	0	5343	5344	4	0
S1	P4	B3	9	4	new	0	TRUE	0	2383	2383	1	0
S1	P4	B3	11	11	new	1	TRUE	0	2960	2960	2	0
S2	P1	B1	1	19	new	0	TRUE	0	2657	2657	1	0
S2	P1	B1	2	16	new	1	TRUE	0	12397	12399	2	0
S2	P1	B1	3	8	new	0	TRUE	0	5567	5568	1	0
S2	P1	B1	4	12	new	6	TRUE	0	20338	20338	7	0
S2	P1	B1	5	3	new	0	TRUE	0	7976	7976	1	0
S2	P1	B2	1	3	new	0	TRUE	0	4807	4807	1	0
S2	P1	B2	2	8	new	0	TRUE	0	3944	3944	1	0
S2	P1	B2	3	19	new	0	TRUE	0	3552	3552	1	0
S2	P1	B2	4	12	new	0	TRUE	0	3169	3169	1	0
S2	P1	B2	5	16	new	1	TRUE	0	6599	6599	2	0
S2	P1	B3	1	12	new	0	TRUE	0	4977	4977	1	0
S2	P1	B3	2	16	new	0	TRUE	0	4528	4528	1	0
