ID	cond	phase	blk	tri	targetId	err	comp	distance	ct	clk	TimeOUt
S1	autolabel	P1	B1	1	6	0	TRUE	0	4488	1	0
S1	autolabel	P1	B1	2	0	0	TRUE	0	3733	1	0
S1	autolabel	P1	B1	3	12	0	TRUE	0	2928	1	0
S1	autolabel	P1	B1	4	3	0	TRUE	0	4544	1	0
S1	autolabel	P1	B1	5	9	0	TRUE	0	3087	1	0
S1	autolabel	P1	B2	1	3	0	TRUE	0	4129	1	0
S1	autolabel	P1	B2	2	0	0	TRUE	0	3943	1	0
S1	autolabel	P1	B2	3	9	0	TRUE	0	3352	1	0
S1	autolabel	P1	B2	4	12	0	TRUE	0	2976	1	0
S1	autolabel	P1	B2	5	6	0	TRUE	0	3847	1	0
S1	autolabel	P1	B3	1	9	0	TRUE	0	2712	1	0
S1	autolabel	P1	B3	2	12	0	TRUE	0	3311	1	0
S1	autolabel	P1	B3	3	3	0	TRUE	0	6384	1	0
S1	autolabel	P1	B3	4	0	0	TRUE	0	4440	1	0
S1	autolabel	P1	B3	5	6	0	TRUE	0	3608	1	0
S1	autolabel	P2	B1	1	0	0	TRUE	0	2592	1	0
S1	autolabel	P2	B1	2	7	2	TRUE	0	8719	3	0
S1	autolabel	P2	B1	3	10	0	TRUE	0	3783	1	0
S1	autolabel	P2	B1	4	12	0	TRUE	0	2887	1	0
S1	autolabel	P2	B1	5	4	0	TRUE	0	4680	1	0
S1	autolabel	P2	B1	6	13	0	TRUE	0	4088	1	0
S1	autolabel	P2	B1	7	9	0	TRUE	0	2896	1	0
S1	autolabel	P2	B1	8	6	1	TRUE	0	3864	2	0
S1	autolabel	P2	B1	9	1	0	TRUE	0	2864	1	0
S1	autolabel	P2	B1	10	3	0	TRUE	0	3255	1	0
S1	autolabel	P2	B2	1	1	1	TRUE	0	4095	2	0
S1	autolabel	P2	B2	2	3	0	TRUE	0	3312	1	0
S1	autolabel	P2	B2	3	6	0	TRUE	0	3247	1	0
S1	autolabel	P2	B2	4	0	0	TRUE	0	4912	1	0
S1	autolabel	P2	B2	5	4	0	TRUE	0	3408	1	0
S1	autolabel	P2	B2	6	12	0	TRUE	0	3392	1	0
S1	autolabel	P2	B2	7	10	0	TRUE	0	3776	1	0
S1	autolabel	P2	B2	8	7	1	TRUE	0	5543	2	0
S1	autolabel	P2	B2	9	9	0	TRUE	0	3840	1	0
S1	autolabel	P2	B2	10	13	0	TRUE	0	3952	1	0
S1	autolabel	P2	B3	1	3	0	TRUE	0	3816	1	0
S1	autolabel	P2	B3	2	6	0	TRUE	0	3063	1	0
S1	autolabel	P2	B3	3	0	1	TRUE	0	4728	2	0
S1	autolabel	P2	B3	4	9	0	TRUE	0	2808	1	0
S1	autolabel	P2	B3	5	1	1	TRUE	0	4200	2	0
S1	autolabel	P2	B3	6	13	0	TRUE	0	2904	1	0
S1	autolabel	P2	B3	7	10	0	TRUE	0	3007	1	0
S1	autolabel	P2	B3	8	12	0	TRUE	0	3392	1	0
S1	autolabel	P2	B3	9	4	1	TRUE	0	6551	2	0
S1	autolabel	P2	B3	10	7	0	TRUE	0	2817	1	0
S1	autolabel	P3	B1	1	2	0	TRUE	0	3910	1	0
S1	autolabel	P3	B1	2	7	0	TRUE	0	3863	1	0
S1	autolabel	P3	B1	3	12	0	TRUE	0	3439	1	0
S1	autolabel	P3	B1	4	1	1	TRUE	0	4263	2	0
S1	autolabel	P3	B1	5	9	0	TRUE	0	2815	1	0
S1	autolabel	P3	B1	6	11	1	TRUE	0	5289	2	0
S1	autolabel	P3	B1	7	0	0	TRUE	0	3271	1	0
S1	autolabel	P3	B1	8	13	0	TRUE	0	3495	1	0
S1	autolabel	P3	B1	9	8	0	TRUE	0	3743	1	0
S1	autolabel	P3	B1	10	5	2	TRUE	0	6496	3	0
S1	autolabel	P3	B1	11	10	0	TRUE	0	3655	1	0
S1	autolabel	P3	B1	12	6	0	TRUE	0	3040	1	0
S1	autolabel	P3	B1	13	3	0	TRUE	0	3272	1	0
S1	autolabel	P3	B1	14	4	0	TRUE	0	4152	1	0
S1	autolabel	P3	B1	15	14	0	TRUE	0	3839	1	0
S1	autolabel	P3	B2	1	2	0	TRUE	0	6496	1	0
S1	autolabel	P3	B2	2	10	0	TRUE	0	4448	1	0
S1	autolabel	P3	B2	3	7	0	TRUE	0	8800	1	0
S1	autolabel	P3	B2	4	12	1	TRUE	0	7112	2	0
S1	autolabel	P3	B2	5	11	2	TRUE	0	12464	3	0
S1	autolabel	P3	B2	6	3	0	TRUE	0	3479	1	0
S1	autolabel	P3	B2	7	4	0	TRUE	0	3991	1	0
S1	autolabel	P3	B2	8	0	0	TRUE	0	3017	1	0
S1	autolabel	P3	B2	9	6	0	TRUE	0	3168	1	0
