id	s	i	b	t	tgid	c	e	et	t	n
1	1	A	1	1	0	TRUE	click	0	3609	1.51001E+12
2	1	A	1	2	7	TRUE	click	7	3576	1.51001E+12
3	1	A	1	3	4	TRUE	click	4	1857	1.51001E+12
4	1	A	1	4	5	FALSE	click	3	2857	1.51001E+12
5	1	A	1	4	5	FALSE	click	2	3840	1.51001E+12
6	1	A	1	4	5	TRUE	click	5	3312	1.51001E+12
7	1	A	1	5	6	TRUE	click	6	2200	1.51001E+12
8	1	A	1	6	8	TRUE	click	8	2944	1.51001E+12
9	1	A	1	7	1	TRUE	click	1	3568	1.51001E+12
10	1	A	1	8	9	TRUE	click	9	2633	1.51001E+12
11	1	A	1	9	3	FALSE	click	2	1825	1.51001E+12
12	1	A	1	9	3	TRUE	click	3	1055	1.51001E+12
13	1	A	1	10	2	TRUE	click	2	3455	1.51001E+12
14	1	A	2	1	8	TRUE	click	8	5064	1.51001E+12
15	1	A	2	2	5	TRUE	click	5	4840	1.51001E+12
16	1	A	2	3	4	TRUE	click	4	1736	1.51001E+12
17	1	A	2	4	7	TRUE	click	7	4889	1.51001E+12
18	1	A	2	5	6	FALSE	click	8	1920	1.51001E+12
19	1	A	2	5	6	FALSE	click	5	3881	1.51001E+12
20	1	A	2	5	6	TRUE	click	6	1512	1.51001E+12
21	1	A	2	6	1	TRUE	click	1	5016	1.51001E+12
22	1	A	2	7	9	TRUE	click	9	2257	1.51001E+12
23	1	A	2	8	2	TRUE	click	2	2776	1.51001E+12
24	1	A	2	9	0	TRUE	click	0	1352	1.51001E+12
25	1	A	2	10	3	TRUE	click	3	1480	1.51001E+12
26	1	A	3	1	0	TRUE	click	0	1792	1.51001E+12
27	1	A	3	2	2	TRUE	click	2	2792	1.51001E+12
28	1	A	3	3	5	FALSE	click	6	2760	1.51001E+12
29	1	A	3	3	5	TRUE	click	5	1272	1.51001E+12
30	1	A	3	4	1	TRUE	click	1	1760	1.51001E+12
31	1	A	3	5	8	TRUE	click	8	2585	1.51001E+12
32	1	A	3	6	4	TRUE	click	4	1961	1.51001E+12
33	1	A	3	7	7	FALSE	click	5	4382	1.51001E+12
34	1	A	3	7	7	FALSE	click	6	1552	1.51001E+12
35	1	A	3	7	7	TRUE	click	7	1912	1.51001E+12
36	1	A	3	8	3	TRUE	click	3	1664	1.51001E+12
37	1	A	3	9	6	TRUE	click	6	2175	1.51001E+12
38	1	A	3	10	9	TRUE	click	9	2104	1.51001E+12
39	1	A	4	1	5	TRUE	click	5	2328	1.51001E+12
40	1	A	4	2	8	FALSE	click	7	1776	1.51001E+12
41	1	A	4	2	8	TRUE	click	8	1384	1.51001E+12
42	1	A	4	3	7	FALSE	click	5	2656	1.51001E+12
43	1	A	4	3	7	FALSE	click	6	1552	1.51001E+12
44	1	A	4	3	7	TRUE	click	7	1304	1.51001E+12
45	1	A	4	4	0	TRUE	click	0	2551	1.51001E+12
46	1	A	4	5	4	TRUE	click	4	1584	1.51001E+12
47	1	A	4	6	9	TRUE	click	9	1776	1.51001E+12
48	1	A	4	7	1	TRUE	click	1	1801	1.51001E+12
49	1	A	4	8	6	TRUE	click	6	2617	1.51001E+12
50	1	A	4	9	3	TRUE	click	3	1569	1.51001E+12
51	1	A	4	10	2	FALSE	click	1	2049	1.51001E+12
52	1	A	4	10	2	TRUE	click	2	1136	1.51001E+12
1	2	A	1	1	1	FALSE	click	2	2345	1.51009E+12
2	2	A	1	1	1	TRUE	click	1	871	1.51009E+12
3	2	A	1	2	2	TRUE	click	2	1992	1.51009E+12
4	2	A	1	3	0	TRUE	click	0	1697	1.51009E+12
5	2	A	1	4	5	FALSE	click	9	2123	1.51009E+12
6	2	A	1	4	5	FALSE	click	8	805	1.51009E+12
7	2	A	1	4	5	FALSE	click	7	1215	1.51009E+12
8	2	A	1	4	5	FALSE	click	6	1224	1.51009E+12
9	2	A	1	4	5	TRUE	click	5	1615	1.51009E+12
10	2	A	1	5	4	TRUE	click	4	2753	1.51009E+12
11	2	A	1	6	7	FALSE	click	6	2344	1.51009E+12
12	2	A	1	6	7	FALSE	click	5	1160	1.51009E+12
13	2	A	1	6	7	TRUE	click	7	1096	1.51009E+12
14	2	A	1	7	6	TRUE	click	6	3536	1.51009E+12
15	2	A	1	8	3	FALSE	click	4	2072	1.51009E+12
16	2	A	1	8	3	TRUE	click	3	1192	1.51009E+12
17	2	A	1	9	9	FALSE	click	7	2384	1.51009E+12
18	2	A	1	9	9	FALSE	click	8	894	1.51009E+12
19	2	A	1	9	9	TRUE	click	9	1463	1.51009E+12
20	2	A	1	10	8	TRUE	click	8	2336	1.51009E+12
21	2	A	2	1	1	TRUE	click	1	2327	1.51009E+12
22	2	A	2	2	2	TRUE	click	2	1651	1.51009E+12
23	2	A	2	3	7	FALSE	click	4	3760	1.51009E+12
24	2	A	2	3	7	FALSE	click	5	927	1.51009E+12
25	2	A	2	3	7	FALSE	click	6	1200	1.51009E+12
26	2	A	2	3	7	TRUE	click	7	991	1.51009E+12
27	2	A	2	4	4	TRUE	click	4	2025	1.51009E+12
28	2	A	2	5	3	TRUE	click	3	1938	1.51009E+12
29	2	A	2	6	8	TRUE	click	8	2105	1.51009E+12
30	2	A	2	7	5	FALSE	click	7	3144	1.51009E+12
31	2	A	2	7	5	FALSE	click	6	1072	1.51009E+12
32	2	A	2	7	5	TRUE	click	5	1168	1.51009E+12
33	2	A	2	8	9	FALSE	click	6	2231	1.51009E+12
34	2	A	2	8	9	FALSE	click	7	1128	1.51009E+12
35	2	A	2	8	9	FALSE	click	8	1232	1.51009E+12
36	2	A	2	8	9	TRUE	click	9	840	1.51009E+12
37	2	A	2	9	6	FALSE	click	4	3227	1.51009E+12
38	2	A	2	9	6	FALSE	click	5	781	1.51009E+12
39	2	A	2	9	6	TRUE	click	6	1183	1.51009E+12
40	2	A	2	10	0	TRUE	click	0	1892	1.51009E+12
41	2	A	3	1	2	TRUE	click	2	2295	1.51009E+12
42	2	A	3	2	5	FALSE	click	4	2408	1.51009E+12
43	2	A	3	2	5	TRUE	click	5	855	1.51009E+12
44	2	A	3	3	6	FALSE	click	4	2817	1.51009E+12
45	2	A	3	3	6	TRUE	click	6	871	1.51009E+12
46	2	A	3	4	0	TRUE	click	0	1512	1.51009E+12
47	2	A	3	5	3	TRUE	click	3	2931	1.51009E+12
48	2	A	3	6	1	FALSE	click	2	2537	1.51009E+12
49	2	A	3	6	1	TRUE	click	1	1151	1.51009E+12
50	2	A	3	7	7	FALSE	click	6	1904	1.51009E+12
51	2	A	3	7	7	TRUE	click	7	912	1.51009E+12
52	2	A	3	8	4	FALSE	click	6	2800	1.51009E+12
53	2	A	3	8	4	TRUE	click	4	712	1.51009E+12
54	2	A	3	9	8	TRUE	click	8	1760	1.51009E+12
55	2	A	3	10	9	TRUE	click	9	2151	1.51009E+12
56	2	A	4	1	5	FALSE	click	6	2992	1.51009E+12
57	2	A	4	1	5	FALSE	click	7	1159	1.51009E+12
58	2	A	4	1	5	TRUE	click	5	2080	1.51009E+12
59	2	A	4	2	2	TRUE	click	2	2400	1.51009E+12
60	2	A	4	3	8	TRUE	click	8	2170	1.51009E+12
61	2	A	4	4	3	TRUE	click	3	1584	1.51009E+12
62	2	A	4	5	6	TRUE	click	6	2320	1.51009E+12
63	2	A	4	6	9	TRUE	click	9	1672	1.51009E+12
64	2	A	4	7	7	FALSE	click	6	2936	1.51009E+12
65	2	A	4	7	7	TRUE	click	7	1040	1.51009E+12
66	2	A	4	8	0	TRUE	click	0	1504	1.51009E+12
67	2	A	4	9	1	TRUE	click	1	2665	1.51009E+12
68	2	A	4	10	4	TRUE	click	4	2167	1.51009E+12
1	3	A	1	1	0	TRUE	click	0	1953	1.51016E+12
2	3	A	1	2	6	FALSE	click	5	2279	1.51016E+12
3	3	A	1	2	6	TRUE	click	6	1281	1.51016E+12
4	3	A	1	3	7	TRUE	click	7	2872	1.51016E+12
5	3	A	1	4	3	FALSE	click	1	3928	1.51016E+12
6	3	A	1	4	3	TRUE	click	3	2248	1.51016E+12
7	3	A	1	5	2	FALSE	click	1	2321	1.51016E+12
8	3	A	1	5	2	TRUE	click	2	1351	1.51016E+12
9	3	A	1	6	4	TRUE	click	4	2833	1.51016E+12
10	3	A	1	7	9	TRUE	click	9	2736	1.51016E+12
11	3	A	1	8	1	TRUE	click	1	2473	1.51016E+12
12	3	A	1	9	5	TRUE	click	5	2824	1.51016E+12
13	3	A	1	10	8	TRUE	click	8	4128	1.51016E+12
14	3	A	2	1	5	TRUE	click	5	3392	1.51016E+12
15	3	A	2	2	6	TRUE	click	6	2289	1.51016E+12
16	3	A	2	3	8	TRUE	click	8	1904	1.51016E+12
17	3	A	2	4	4	TRUE	click	4	1936	1.51016E+12
18	3	A	2	5	7	FALSE	click	6	5776	1.51016E+12
19	3	A	2	5	7	TRUE	click	7	1064	1.51016E+12
20	3	A	2	6	2	TRUE	click	2	3080	1.51016E+12
21	3	A	2	7	1	TRUE	click	1	1952	1.51016E+12
22	3	A	2	8	3	TRUE	click	3	1672	1.51016E+12
23	3	A	2	9	0	TRUE	click	0	2097	1.51016E+12
24	3	A	2	10	9	TRUE	click	9	2457	1.51016E+12
25	3	A	3	1	2	TRUE	click	2	2585	1.51016E+12
26	3	A	3	2	7	TRUE	click	7	1664	1.51016E+12
27	3	A	3	3	0	TRUE	click	0	1512	1.51016E+12
28	3	A	3	4	6	FALSE	click	5	1905	1.51016E+12
29	3	A	3	4	6	TRUE	click	6	1328	1.51016E+12
30	3	A	3	5	3	TRUE	click	3	1785	1.51016E+12
31	3	A	3	6	5	TRUE	click	5	3712	1.51016E+12
32	3	A	3	7	1	TRUE	click	1	1657	1.51016E+12
33	3	A	3	8	9	TRUE	click	9	1979	1.51016E+12
34	3	A	3	9	4	TRUE	click	4	2809	1.51016E+12
35	3	A	3	10	8	TRUE	click	8	2064	1.51016E+12
36	3	A	4	1	3	TRUE	click	3	1368	1.51016E+12
37	3	A	4	2	0	TRUE	click	0	1528	1.51016E+12
38	3	A	4	3	4	TRUE	click	4	2129	1.51016E+12
39	3	A	4	4	2	TRUE	click	2	1857	1.51016E+12
40	3	A	4	5	7	TRUE	click	7	1952	1.51016E+12
41	3	A	4	6	1	TRUE	click	1	1664	1.51016E+12
42	3	A	4	7	6	FALSE	click	7	1728	1.51016E+12
43	3	A	4	7	6	TRUE	click	6	1088	1.51016E+12
44	3	A	4	8	5	TRUE	click	5	2049	1.51016E+12
45	3	A	4	9	8	TRUE	click	8	1415	1.51016E+12
46	3	A	4	10	9	TRUE	click	9	3112	1.51016E+12
1	1	B	1	1	3	TRUE	click	3	3425	1.51001E+12
2	1	B	1	2	5	TRUE	click	5	4609	1.51001E+12
3	1	B	1	3	0	TRUE	click	0	2017	1.51001E+12
4	1	B	1	4	7	TRUE	click	7	7096	1.51001E+12
5	1	B	1	5	6	TRUE	click	6	2201	1.51001E+12
6	1	B	1	6	9	TRUE	click	9	1664	1.51001E+12
7	1	B	1	7	1	TRUE	click	1	2449	1.51001E+12
8	1	B	1	8	2	TRUE	click	2	2577	1.51001E+12
9	1	B	1	9	8	TRUE	click	8	2536	1.51001E+12
10	1	B	1	10	4	TRUE	click	4	2576	1.51001E+12
11	1	B	2	1	7	TRUE	click	7	3096	1.51001E+12
12	1	B	2	2	4	TRUE	click	4	2040	1.51001E+12
13	1	B	2	3	2	TRUE	click	2	3160	1.51001E+12
14	1	B	2	4	9	TRUE	click	9	1889	1.51001E+12
15	1	B	2	5	1	TRUE	click	1	1793	1.51001E+12
16	1	B	2	6	6	TRUE	click	6	1736	1.51001E+12
17	1	B	2	7	3	TRUE	click	3	2528	1.51001E+12
18	1	B	2	8	8	TRUE	click	8	3016	1.51001E+12
19	1	B	2	9	0	TRUE	click	0	1583	1.51001E+12
20	1	B	2	10	5	TRUE	click	5	2680	1.51001E+12
21	1	B	3	1	9	TRUE	click	9	1896	1.51001E+12
22	1	B	3	2	2	TRUE	click	2	2448	1.51001E+12
23	1	B	3	3	7	TRUE	click	7	2375	1.51001E+12
24	1	B	3	4	6	TRUE	click	6	1353	1.51001E+12
25	1	B	3	5	5	TRUE	click	5	2120	1.51001E+12
26	1	B	3	6	4	TRUE	click	4	2745	1.51001E+12
27	1	B	3	7	1	TRUE	click	1	1712	1.51001E+12
28	1	B	3	8	8	TRUE	click	8	2583	1.51001E+12
29	1	B	3	9	3	TRUE	click	3	1880	1.51001E+12
30	1	B	3	10	0	TRUE	click	0	1841	1.51001E+12
31	1	B	4	1	1	TRUE	click	1	2064	1.51001E+12
32	1	B	4	2	0	TRUE	click	0	1783	1.51001E+12
33	1	B	4	3	6	TRUE	click	6	1840	1.51001E+12
34	1	B	4	4	2	TRUE	click	2	2079	1.51001E+12
35	1	B	4	5	8	TRUE	click	8	2168	1.51001E+12
36	1	B	4	6	4	TRUE	click	4	2992	1.51001E+12
37	1	B	4	7	7	TRUE	click	7	2633	1.51001E+12
38	1	B	4	8	9	TRUE	click	9	1792	1.51001E+12
39	1	B	4	9	5	TRUE	click	5	2280	1.51001E+12
40	1	B	4	10	3	TRUE	click	3	2040	1.51001E+12
1	2	B	1	1	4	TRUE	click	4	5016	1.51009E+12
2	2	B	1	2	8	FALSE	click	9	3696	1.51009E+12
3	2	B	1	2	8	TRUE	click	8	2160	1.51009E+12
4	2	B	1	3	3	TRUE	click	3	3144	1.51009E+12
5	2	B	1	4	5	TRUE	click	5	2793	1.51009E+12
6	2	B	1	5	2	FALSE	click	1	5960	1.51009E+12
7	2	B	1	5	2	FALSE	click	9	1888	1.51009E+12
8	2	B	1	5	2	FALSE	click	8	1296	1.51009E+12
9	2	B	1	5	2	FALSE	click	7	2039	1.51009E+12
10	2	B	1	5	2	FALSE	to	7	3822	1.51009E+12
13	2	B	1	6	7	FALSE	click	2	2213	1.51009E+12
14	2	B	1	6	7	TRUE	click	2	1931	1.51009E+12
23	2	B	1	7	1	TRUE	click	1	4144	1.51009E+12
24	2	B	1	8	0	TRUE	click	0	7503	1.51009E+12
25	2	B	1	9	6	TRUE	click	6	2976	1.51009E+12
26	2	B	1	10	9	TRUE	click	9	1720	1.51009E+12
27	2	B	2	1	0	TRUE	click	0	5391	1.51009E+12
28	2	B	2	2	5	TRUE	click	5	3471	1.51009E+12
29	2	B	2	3	4	TRUE	click	4	4489	1.51009E+12
30	2	B	2	4	6	TRUE	click	6	2144	1.51009E+12
31	2	B	2	5	2	TRUE	click	2	5224	1.51009E+12
32	2	B	2	6	3	TRUE	click	3	3064	1.51009E+12
33	2	B	2	7	9	TRUE	click	9	2456	1.51009E+12
34	2	B	2	8	1	TRUE	click	1	2432	1.51009E+12
35	2	B	2	9	8	TRUE	click	8	2753	1.51009E+12
36	2	B	2	10	7	TRUE	click	7	1872	1.51009E+12
37	2	B	3	1	6	TRUE	click	6	2656	1.51009E+12
38	2	B	3	2	5	TRUE	click	5	5136	1.51009E+12
39	2	B	3	3	3	TRUE	click	3	3072	1.51009E+12
40	2	B	3	4	7	TRUE	click	7	2489	1.51009E+12
41	2	B	3	5	2	TRUE	click	2	3055	1.51009E+12
42	2	B	3	6	1	TRUE	click	1	2432	1.51009E+12
43	2	B	3	7	8	TRUE	click	8	1983	1.51009E+12
44	2	B	3	8	4	TRUE	click	4	3168	1.51009E+12
45	2	B	3	9	9	TRUE	click	9	2336	1.51009E+12
46	2	B	3	10	0	TRUE	click	0	3240	1.51009E+12
47	2	B	4	1	2	TRUE	click	2	3025	1.51009E+12
48	2	B	4	2	9	TRUE	click	9	2312	1.51009E+12
49	2	B	4	3	3	TRUE	click	3	4089	1.51009E+12
50	2	B	4	4	6	TRUE	click	6	1897	1.51009E+12
51	2	B	4	5	8	TRUE	click	8	2423	1.51009E+12
