subject	method	block	trail	err
1	A	1	1	0
1	A	1	2	0
1	A	1	3	0
1	A	1	4	2
1	A	1	5	0
1	A	1	6	0
1	A	1	7	0
1	A	1	8	0
1	A	1	9	1
1	A	1	10	0
1	A	2	1	0
1	A	2	2	0
1	A	2	3	0
1	A	2	4	0
1	A	2	5	2
1	A	2	6	0
1	A	2	7	0
1	A	2	8	0
1	A	2	9	0
1	A	2	10	0
1	A	3	1	0
1	A	3	2	0
1	A	3	3	1
1	A	3	4	0
1	A	3	5	0
1	A	3	6	0
1	A	3	7	2
1	A	3	8	0
1	A	3	9	0
1	A	3	10	0
1	A	4	1	0
1	A	4	2	1
1	A	4	3	2
1	A	4	4	0
1	A	4	5	0
1	A	4	6	0
1	A	4	7	0
1	A	4	8	0
1	A	4	9	0
1	A	4	10	1
2	A	1	1	1
2	A	1	2	0
2	A	1	3	0
2	A	1	4	4
2	A	1	5	0
2	A	1	6	2
2	A	1	7	0
2	A	1	8	1
2	A	1	9	2
2	A	1	10	0
2	A	2	1	0
2	A	2	2	0
2	A	2	3	3
2	A	2	4	0
2	A	2	5	0
2	A	2	6	0
2	A	2	7	2
2	A	2	8	3
2	A	2	9	2
2	A	2	10	0
2	A	3	1	0
2	A	3	2	1
2	A	3	3	1
2	A	3	4	0
2	A	3	5	0
2	A	3	6	1
2	A	3	7	1
2	A	3	8	1
2	A	3	9	0
2	A	3	10	0
2	A	4	1	2
2	A	4	2	0
2	A	4	3	0
2	A	4	4	0
2	A	4	5	0
2	A	4	6	0
2	A	4	7	1
2	A	4	8	0
2	A	4	9	0
2	A	4	10	0
3	A	1	1	0
3	A	1	2	1
3	A	1	3	0
3	A	1	4	1
3	A	1	5	1
3	A	1	6	0
3	A	1	7	0
3	A	1	8	0
3	A	1	9	0
3	A	1	10	0
3	A	2	1	0
3	A	2	2	0
3	A	2	3	0
3	A	2	4	0
3	A	2	5	1
3	A	2	6	0
3	A	2	7	0
3	A	2	8	0
3	A	2	9	0
3	A	2	10	0
3	A	3	1	0
3	A	3	2	0
3	A	3	3	0
3	A	3	4	1
3	A	3	5	0
3	A	3	6	0
3	A	3	7	0
3	A	3	8	0
3	A	3	9	0
3	A	3	10	0
3	A	4	1	0
3	A	4	2	0
3	A	4	3	0
3	A	4	4	0
3	A	4	5	0
3	A	4	6	0
3	A	4	7	1
3	A	4	8	0
3	A	4	9	0
3	A	4	10	0
1	B	1	1	0
1	B	1	2	0
1	B	1	3	0
1	B	1	4	0
1	B	1	5	0
1	B	1	6	0
1	B	1	7	0
1	B	1	8	0
1	B	1	9	0
1	B	1	10	0
1	B	2	1	0
1	B	2	2	0
1	B	2	3	0
1	B	2	4	0
1	B	2	5	0
1	B	2	6	0
1	B	2	7	0
1	B	2	8	0
1	B	2	9	0
1	B	2	10	0
1	B	3	1	0
1	B	3	2	0
1	B	3	3	0
1	B	3	4	0
1	B	3	5	0
1	B	3	6	0
1	B	3	7	0
1	B	3	8	0
1	B	3	9	0
1	B	3	10	0
1	B	4	1	0
1	B	4	2	0
1	B	4	3	0
1	B	4	4	0
1	B	4	5	0
1	B	4	6	0
1	B	4	7	0
1	B	4	8	0
1	B	4	9	0
1	B	4	10	0
2	B	1	1	0
2	B	1	2	1
2	B	1	3	0
2	B	1	4	0
2	B	1	5	4
2	B	1	6	1
2	B	1	7	0
2	B	1	8	0
2	B	1	9	0
2	B	1	10	0
2	B	2	1	0
2	B	2	2	0
2	B	2	3	0
2	B	2	4	0
2	B	2	5	0
2	B	2	6	0
2	B	2	7	0
2	B	2	8	0
2	B	2	9	0
2	B	2	10	0
2	B	3	1	0
2	B	3	2	0
2	B	3	3	0
2	B	3	4	0
2	B	3	5	0
2	B	3	6	0
2	B	3	7	0
2	B	3	8	0
2	B	3	9	0
2	B	3	10	0
2	B	4	1	0
2	B	4	2	0
2	B	4	3	0
2	B	4	4	0
2	B	4	5	0
2	B	4	6	0
2	B	4	7	0
2	B	4	8	0
2	B	4	9	0
2	B	4	10	0
3	B	1	1	0
3	B	1	2	1
3	B	1	3	0
3	B	1	4	0
3	B	1	5	0
3	B	1	6	0
3	B	1	7	0
3	B	1	8	0
3	B	1	9	0
3	B	1	10	0
3	B	2	1	0
3	B	2	2	0
3	B	2	3	0
3	B	2	4	1
3	B	2	5	0
3	B	2	6	0
3	B	2	7	0
3	B	2	8	0
3	B	2	9	0
3	B	2	10	0
3	B	3	1	0
3	B	3	2	0
3	B	3	3	0
3	B	3	4	0
3	B	3	5	0
3	B	3	6	0
3	B	3	7	0
3	B	3	8	0
3	B	3	9	0
3	B	3	10	1
3	B	4	1	0
3	B	4	2	0
3	B	4	3	0
