subject	method	block	trail	ct
1	simple10	1	1	7879
1	simple10	1	2	9743
1	simple10	1	3	7768
1	simple10	1	4	3752
1	simple10	1	5	4144
1	simple10	1	6	5016
1	simple10	1	7	9584
1	simple10	1	8	2296
1	simple10	1	9	12488
1	simple10	1	10	4720
1	simple10	2	1	3015
1	simple10	2	2	2448
1	simple10	2	3	13377
1	simple10	2	4	3120
1	simple10	2	5	4687
1	simple10	2	6	2289
1	simple10	2	7	2808
1	simple10	2	8	2000
1	simple10	2	9	2161
1	simple10	2	10	3416
1	simple10	3	1	7408
1	simple10	3	2	2480
1	simple10	3	3	2849
1	simple10	3	4	2201
1	simple10	3	5	3089
1	simple10	3	6	2081
1	simple10	3	7	2352
1	simple10	3	8	1969
1	simple10	3	9	3904
1	simple10	3	10	12176
1	simple10	4	1	4568
1	simple10	4	2	2785
1	simple10	4	3	3783
1	simple10	4	4	1935
1	simple10	4	5	1633
1	simple10	4	6	1792
1	simple10	4	7	3199
1	simple10	4	8	4840
1	simple10	4	9	2761
1	simple10	4	10	3097
1	random	1	1	6824
1	random	1	2	2384
1	random	1	3	2008
1	random	1	4	3992
1	random	1	5	3088
1	random	1	6	2385
1	random	1	7	2025
1	random	1	8	3168
1	random	1	9	4392
1	random	1	10	2433
1	random	2	1	4167
1	random	2	2	3833
1	random	2	3	1824
1	random	2	4	2856
1	random	2	5	2377
1	random	2	6	3801
1	random	2	7	1783
1	random	2	8	2049
1	random	2	9	2232
1	random	2	10	2639
1	random	3	1	2472
1	random	3	2	1992
1	random	3	3	1769
1	random	3	4	1648
1	random	3	5	2824
1	random	3	6	1936
1	random	3	7	2121
1	random	3	8	1961
1	random	3	9	1792
1	random	3	10	2024
1	random	4	1	2256
1	random	4	2	1823
1	random	4	3	1760
1	random	4	4	2081
1	random	4	5	2032
1	random	4	6	1840
1	random	4	7	6512
1	random	4	8	2088
1	random	4	9	2489
1	random	4	10	1976
1	user	1	1	5206
1	user	1	2	2016
1	user	1	3	2800
1	user	1	4	3081
1	user	1	5	3168
1	user	1	6	2351
1	user	1	7	1703
1	user	1	8	3576
1	user	1	9	4424
1	user	1	10	3800
1	user	2	1	2576
1	user	2	2	2128
1	user	2	3	5304
1	user	2	4	2249
1	user	2	5	2063
1	user	2	6	2320
1	user	2	7	6183
1	user	2	8	1881
1	user	2	9	4137
1	user	2	10	4856
1	user	3	1	2192
1	user	3	2	2800
1	user	3	3	2264
1	user	3	4	2465
1	user	3	5	2808
1	user	3	6	2056
1	user	3	7	2408
1	user	3	8	2392
1	user	3	9	4793
1	user	3	10	2463
1	user	4	1	2624
1	user	4	2	4744
1	user	4	3	2232
1	user	4	4	2448
1	user	4	5	2841
1	user	4	6	3392
1	user	4	7	3096
1	user	4	8	2160
1	user	4	9	2456
1	user	4	10	3249
2	simple10	1	1	15012
2	simple10	1	2	8504
2	simple10	1	3	5176
2	simple10	1	4	3440
2	simple10	1	5	6399
2	simple10	1	6	2584
2	simple10	1	7	2665
2	simple10	1	8	8185
2	simple10	1	9	5167
2	simple10	1	10	3137
2	simple10	2	1	4008
2	simple10	2	2	2137
2	simple10	2	3	15006
2	simple10	2	4	15005
2	simple10	2	5	2153
2	simple10	2	6	1960
2	simple10	2	7	8241
2	simple10	2	8	2288
2	simple10	2	9	3472
2	simple10	2	10	10160
2	simple10	3	1	8096
2	simple10	3	2	7224
2	simple10	3	3	2328
2	simple10	3	4	2952
2	simple10	3	5	8121
2	simple10	3	6	3840
2	simple10	3	7	2856
2	simple10	3	8	2057
2	simple10	3	9	1890
2	simple10	3	10	1992
2	simple10	4	1	2336
2	simple10	4	2	2424
2	simple10	4	3	2257
2	simple10	4	4	3689
2	simple10	4	5	4329
2	simple10	4	6	3134
2	simple10	4	7	2096
2	simple10	4	8	4440
2	simple10	4	9	2960
2	simple10	4	10	4112
2	random	1	1	4344
2	random	1	2	14345
2	random	1	3	5616
