subject	method	block	trail	ct
1	T	1	0	2642
1	T	1	1	3075
1	T	1	2	5514
1	T	1	3	4627
1	T	1	4	2755
1	T	1	5	2364
1	T	1	6	8147
1	T	1	7	7954
1	T	1	8	5547
1	T	1	9	2922
1	T	2	0	8617
1	T	2	1	2171
1	T	2	2	5091
1	T	2	3	2428
1	T	2	4	5867
1	T	2	5	2739
1	T	2	6	3387
1	T	2	7	6043
1	T	2	8	8138
1	T	2	9	1659
1	T	3	0	2755
1	T	3	1	1873
1	T	3	2	4810
1	T	3	3	4667
1	T	3	4	2723
1	T	3	5	1580
1	T	3	6	3114
1	T	3	7	1828
1	T	3	8	5867
1	T	3	9	3765
1	T	4	0	3979
1	T	4	1	6370
1	T	4	2	2315
1	T	4	3	5251
1	T	4	4	2373
1	T	4	5	1698
1	T	4	6	7570
1	T	4	7	14915
1	T	4	8	3587
1	T	4	9	2035
1	F	1	0	6114
1	F	1	1	2914
1	F	1	2	6297
1	F	1	3	2204
1	F	1	4	4260
1	F	1	5	2219
1	F	1	6	6836
1	F	1	7	1811
1	F	1	8	9556
1	F	1	9	4483
1	F	1	10	2306
1	F	1	11	12593
1	F	1	12	3051
1	F	1	13	3195
1	F	1	14	1547
1	F	2	0	4114
1	F	2	1	3771
1	F	2	2	6586
1	F	2	3	4731
1	F	2	4	1819
1	F	2	5	2987
1	F	2	6	1571
1	F	2	7	4395
1	F	2	8	6331
1	F	2	9	1722
1	F	2	10	5041
1	F	2	11	4572
1	F	2	12	1604
1	F	2	13	2363
1	F	2	14	2700
1	F	3	0	7811
1	F	3	1	1564
1	F	3	2	2658
1	F	3	3	4988
1	F	3	4	2066
1	F	3	5	1595
1	F	3	6	2371
1	F	3	7	4857
1	F	3	8	1859
1	F	3	9	4866
1	F	3	10	1659
1	F	3	11	4435
1	F	3	12	2524
1	F	3	13	1755
1	F	3	14	4939
1	F	4	0	8003
1	F	4	1	2907
1	F	4	2	4123
1	F	4	3	2179
1	F	4	4	1387
1	F	4	5	1811
1	F	4	6	4194
1	F	4	7	3059
1	F	4	8	2628
1	F	4	9	2171
1	F	4	10	2307
1	F	4	11	1643
1	F	4	12	1979
1	F	4	13	1859
1	F	4	14	5379
2	T	1	0	19570
2	T	1	1	2851
2	T	1	2	18938
2	T	1	3	2123
2	T	1	4	4978
2	T	1	5	2235
2	T	1	6	4373
2	T	1	7	5036
2	T	1	8	1883
2	T	1	9	5226
2	T	2	0	6715
2	T	2	1	2412
2	T	2	2	6258
2	T	2	3	5083
2	T	2	4	2003
2	T	2	5	1907
2	T	2	6	3643
2	T	2	7	2859
2	T	2	8	1917
2	T	2	9	2827
2	T	3	0	5874
2	T	3	1	3003
2	T	3	2	2380
2	T	3	3	2227
2	T	3	4	2628
2	T	3	5	2363
2	T	3	6	3173
2	T	3	7	10755
2	T	3	8	6065
2	T	3	9	2068
2	T	4	0	3990
2	T	4	1	3033
2	T	4	2	16561
2	T	4	3	2923
2	T	4	4	1787
2	T	4	5	3252
2	T	4	6	2100
2	T	4	7	2107
2	T	4	8	3338
2	T	4	9	2099
