subject	method	block	trail	err
1	A	1	0	0
1	A	1	1	0
1	A	1	2	2
1	A	1	3	2
1	A	1	4	0
1	A	1	5	0
1	A	1	6	4
1	A	1	7	2
1	A	1	8	0
1	A	1	9	0
1	A	2	0	2
1	A	2	1	0
1	A	2	2	1
1	A	2	3	0
1	A	2	4	1
1	A	2	5	0
1	A	2	6	1
1	A	2	7	1
1	A	2	8	3
1	A	2	9	0
1	A	3	0	0
1	A	3	1	0
1	A	3	2	0
1	A	3	3	2
1	A	3	4	0
1	A	3	5	0
1	A	3	6	0
1	A	3	7	0
1	A	3	8	2
1	A	3	9	0
1	A	4	0	0
1	A	4	1	1
1	A	4	2	0
1	A	4	3	1
1	A	4	4	0
1	A	4	5	0
1	A	4	6	0
1	A	4	7	4
1	A	4	8	0
1	A	4	9	0
1	B	1	0	1
1	B	1	1	0
1	B	1	2	2
1	B	1	3	0
1	B	1	4	0
1	B	1	5	0
1	B	1	6	2
1	B	1	7	0
1	B	1	8	3
1	B	1	9	0
1	B	1	10	0
1	B	1	11	4
1	B	1	12	0
1	B	1	13	0
1	B	1	14	0
1	B	2	0	0
1	B	2	1	0
1	B	2	2	2
1	B	2	3	0
1	B	2	4	0
1	B	2	5	0
1	B	2	6	0
1	B	2	7	0
1	B	2	8	0
1	B	2	9	0
1	B	2	10	1
1	B	2	11	0
1	B	2	12	0
1	B	2	13	0
1	B	2	14	0
1	B	3	0	0
1	B	3	1	0
1	B	3	2	0
1	B	3	3	0
1	B	3	4	0
1	B	3	5	0
1	B	3	6	0
1	B	3	7	1
1	B	3	8	0
1	B	3	9	0
1	B	3	10	0
1	B	3	11	0
1	B	3	12	0
1	B	3	13	0
1	B	3	14	1
1	B	4	0	0
1	B	4	1	0
1	B	4	2	0
1	B	4	3	0
1	B	4	4	0
1	B	4	5	0
1	B	4	6	0
1	B	4	7	0
1	B	4	8	0
1	B	4	9	0
1	B	4	10	0
1	B	4	11	0
1	B	4	12	0
1	B	4	13	0
1	B	4	14	0
2	A	1	0	7
2	A	1	1	0
2	A	1	2	10
2	A	1	3	0
2	A	1	4	2
2	A	1	5	0
2	A	1	6	2
2	A	1	7	1
2	A	1	8	0
2	A	1	9	1
2	A	2	0	0
2	A	2	1	0
2	A	2	2	2
2	A	2	3	1
2	A	2	4	0
2	A	2	5	0
2	A	2	6	0
2	A	2	7	0
2	A	2	8	0
2	A	2	9	0
2	A	3	0	2
2	A	3	1	1
2	A	3	2	0
2	A	3	3	0
2	A	3	4	0
2	A	3	5	0
2	A	3	6	0
2	A	3	7	4
2	A	3	8	4
2	A	3	9	0
2	A	4	0	0
2	A	4	1	1
2	A	4	2	13
2	A	4	3	0
2	A	4	4	0
2	A	4	5	1
2	A	4	6	0
2	A	4	7	0
2	A	4	8	1
2	A	4	9	0
2	B	1	0	2
2	B	1	1	2
2	B	1	2	0
2	B	1	3	2
2	B	1	4	2
2	B	1	5	3
2	B	1	6	2
2	B	1	7	2
2	B	1	8	5
2	B	1	9	2
2	B	1	10	14
2	B	1	11	10
2	B	1	12	4
2	B	1	13	19
2	B	1	14	8
2	B	2	0	2
2	B	2	1	0
2	B	2	2	0
2	B	2	3	6
2	B	2	4	7
2	B	2	5	9
2	B	2	6	2
2	B	2	7	0
2	B	2	8	2
2	B	2	9	1
2	B	2	10	0
2	B	2	11	11
2	B	2	12	10
2	B	2	13	0
2	B	2	14	0
2	B	3	0	0
2	B	3	1	2
2	B	3	2	0
2	B	3	3	11
2	B	3	4	0
2	B	3	5	1
2	B	3	6	2
2	B	3	7	0
2	B	3	8	1
2	B	3	9	2
2	B	3	10	0
2	B	3	11	6
2	B	3	12	0
2	B	3	13	1
2	B	3	14	15
2	B	4	0	3
2	B	4	1	1
2	B	4	2	0
2	B	4	3	0
2	B	4	4	0
2	B	4	5	0
2	B	4	6	0
2	B	4	7	0
2	B	4	8	1
2	B	4	9	2
2	B	4	10	23
2	B	4	11	11
2	B	4	12	4
2	B	4	13	2
2	B	4	14	0
3	A	1	0	0
3	A	1	1	0
3	A	1	2	0
3	A	1	3	0
3	A	1	4	0
3	A	1	5	0
3	A	1	6	0
3	A	1	7	0
3	A	1	8	0
3	A	1	9	0
3	A	2	0	1
3	A	2	1	1
3	A	2	2	0
3	A	2	3	1
3	A	2	4	0
3	A	2	5	0
3	A	2	6	0
3	A	2	7	0
3	A	2	8	0
3	A	2	9	0
3	A	3	0	0
3	A	3	1	0
3	A	3	2	0
3	A	3	3	0
3	A	3	4	0
3	A	3	5	0
3	A	3	6	0
3	A	3	7	0
3	A	3	8	1
3	A	3	9	0
3	A	4	0	0
3	A	4	1	0
3	A	4	2	0
3	A	4	3	0
3	A	4	4	0
3	A	4	5	0
3	A	4	6	0
3	A	4	7	0
3	A	4	8	0
3	A	4	9	0
3	B	1	0	1
3	B	1	1	0
3	B	1	2	0
3	B	1	3	2
3	B	1	4	1
3	B	1	5	10
3	B	1	6	2
3	B	1	7	2
3	B	1	8	0
3	B	1	9	12
3	B	1	10	0
3	B	1	11	4
3	B	1	12	0
3	B	1	13	0
3	B	1	14	0
3	B	2	0	1
3	B	2	1	0
3	B	2	2	0
3	B	2	3	0
3	B	2	4	0
3	B	2	5	2
3	B	2	6	5
3	B	2	7	5
3	B	2	8	3
3	B	2	9	1
3	B	2	10	0
3	B	2	11	0
3	B	2	12	2
3	B	2	13	13
3	B	2	14	2
3	B	3	0	4
3	B	3	1	9
3	B	3	2	0
3	B	3	3	0
3	B	3	4	0
3	B	3	5	1
3	B	3	6	0
3	B	3	7	0
3	B	3	8	0
3	B	3	9	0
3	B	3	10	2
3	B	3	11	1
3	B	3	12	2
3	B	3	13	1
3	B	3	14	0
3	B	4	0	0
3	B	4	1	1
3	B	4	2	4
3	B	4	3	0
3	B	4	4	0
3	B	4	5	0
3	B	4	6	1
3	B	4	7	0
3	B	4	8	1
3	B	4	9	1
3	B	4	10	0
3	B	4	11	0
3	B	4	12	4
3	B	4	13	2
3	B	4	14	0
